video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
ph-8t5vXGsE&list=RDph-8t5vXGsE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Tyler, The Creator - Sugar On My Tongue (Lyrics)",Strain Music,3 months ago,,,,5600000,,
VTbo8E8es9A&list=RDVTbo8E8es9A&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Mbosso - Pawa (Official Music Video),Mbosso,4 months ago,,,,41000000,,
lTI1OpZw6rI&list=RDlTI1OpZw6rI&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Wesibadde - Sheebah (Official Visualizer),Sheebah,3 weeks ago,,,,1400000,,
ddk_25wr1pc&list=RDddk_25wr1pc&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Marioo - Dunia (Clip Officiel),MariooOfficial,2 months ago,,,,6500000,,
bSjiOqCqNuQ&list=RDbSjiOqCqNuQ&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Nashie Zim ft Nyasha David KUNGE NGIROZI (official Music Video),Nashie Zim,3 weeks ago,,,,903000,,
efkTKch20sE&list=RDefkTKch20sE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Oriyano - Kamubhoga ft Sunshine (official video),Oriyano Official,3 months ago,,,,3200000,,
756YdTT-WJ0&list=RD756YdTT-WJ0&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Goon Flavour, Master KG & Eemoh - Ngishutheni (Official Music Video)",Wanitwa Mos Entertainment,5 months ago,,,,73000000,,
-MVC093fIwo&list=RD-MVC093fIwo&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Key Glock - She Ready (Official Music Video),Key Glock,1 month ago,,,,7400000,,
slzc_Ye1z5I&list=RDslzc_Ye1z5I&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Wanula Rmx  - Temperature Touch X Ava Peace (Official Video) 4K,Temperature Touch,6 months ago,,,,6500000,,
BclvXp0t-G0&list=RDBclvXp0t-G0&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Kehlani - Folded (Lyrics),7clouds R&B,4 months ago,,,,8199999,,
pqVQpOby0VA&list=RDpqVQpOby0VA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Davido - With You ft. Omah Lay (Visualizer),life + lyrics,5 months ago,,,,26000000,,
nt5tXl9Vtug&list=RDnt5tXl9Vtug&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Shubh - Balenci (Official Music Video),SHUBH,1 month ago,,,,23000000,,
_CYy--ZOwL8&list=RD_CYy--ZOwL8&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Best New Tagalog Love Songs 2025 - Hot Hits OPM On Spotify | You'll Be In My Heart - Niki,Midnight Tears,5 months ago,,,,3500000,,
QH5YH8LDlIc&list=RDQH5YH8LDlIc&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Gunna - Won't Stop [Official Video],Gunna,3 months ago,,,,7800000,,
ct2dGdQA9mI&list=RDct2dGdQA9mI&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,That's What Friends Are For - Dionne Warwick | Lyrics🎵 #trending #lyrics #dionnewarwick,Yoonah The Explorer 🎒,2 years ago,,,,15000000,,
eOAEpMOo-pA&list=RDeOAEpMOo-pA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Skusta Clee - Kalimutan Ka (Official Music Video),Skusta Clee TV,8 months ago,,,,115000000,,
IRMmpzCsyWA&list=RDIRMmpzCsyWA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Edwin McCain - I'll Be (Lyrics),7clouds Rock,3 months ago,,,,15000000,,
n2dVFdqMYGA&list=RDn2dVFdqMYGA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Sahiba (Official Music Video) : Aditya Rikhari, Ankita Chhetri | T-Series",T-Series,1 year ago,,,,149000000,,
Pozk2fI6CGE&list=RDPozk2fI6CGE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,DABABY - SAVE ME (OFFICIAL VIDEO),DaBaby,1 month ago,,,,2100000,,
GJZAcj4P99g&list=RDGJZAcj4P99g&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Onam Mood | Sahasam | Fejo | Ramzan, Gouri Kishan | Bibin Ashok | Vinayak | Bibin Krishna",Saregama Malayalam,3 months ago,,,,36000000,,
